S-8D Google 5 WER: 0.27640449438202247, S:60, I:2, D:61
S-8D Kaldi 5 WER: 0.15955056179775282, S:34, I:20, D:17
S-3C Google 0 WER: 0.3069306930693069, S:38, I:6, D:18
S-3C Kaldi 0 WER: 0.30198019801980197, S:23, I:24, D:14
S-3C Google 1 WER: 0.3161764705882353, S:18, I:3, D:22
S-3C Kaldi 1 WER: 0.3161764705882353, S:21, I:14, D:8
S-3C Google 2 WER: 0.34782608695652173, S:43, I:8, D:61
S-3C Kaldi 2 WER: 0.2515527950310559, S:40, I:22, D:19
S-3C Google 3 WER: 0.29357798165137616, S:42, I:4, D:18
S-3C Kaldi 3 WER: 0.2018348623853211, S:21, I:13, D:10
S-3C Google 4 WER: 0.35096153846153844, S:92, I:9, D:45
S-3C Kaldi 4 WER: 0.19230769230769232, S:52, I:14, D:14
S-3C Google 5 WER: 0.3374485596707819, S:39, I:2, D:41
S-3C Kaldi 5 WER: 0.24691358024691357, S:33, I:8, D:19
S-12D Google 0 WER: 0.5263157894736842, S:28, I:0, D:32
S-12D Kaldi 0 WER: 0.2982456140350877, S:20, I:3, D:11
S-12D Google 1 WER: 0.5273972602739726, S:33, I:1, D:43
S-12D Kaldi 1 WER: 0.3424657534246575, S:36, I:4, D:10
S-12D Google 2 WER: 0.4050632911392405, S:18, I:0, D:14
S-12D Kaldi 2 WER: 0.24050632911392406, S:9, I:4, D:6
S-12D Google 3 WER: 0.5714285714285714, S:28, I:0, D:20
S-12D Kaldi 3 WER: 0.2976190476190476, S:13, I:2, D:10
S-12D Google 4 WER: 0.4228571428571429, S:40, I:0, D:34
S-12D Kaldi 4 WER: 0.21714285714285714, S:25, I:2, D:11
S-12D Google 5 WER: 0.541095890410959, S:38, I:0, D:41
S-12D Kaldi 5 WER: 0.3356164383561644, S:27, I:4, D:18
S-18B Google 0 WER: 0.33962264150943394, S:43, I:1, D:46
S-18B Kaldi 0 WER: 0.27547169811320754, S:29, I:31, D:13
S-18B Google 1 WER: 0.3059360730593607, S:25, I:3, D:39
S-18B Kaldi 1 WER: 0.1963470319634703, S:17, I:17, D:9
S-18B Google 2 WER: 0.3772455089820359, S:27, I:5, D:31
S-18B Kaldi 2 WER: 0.23952095808383234, S:24, I:13, D:3
S-18B Google 3 WER: 0.37815126050420167, S:44, I:3, D:43
S-18B Kaldi 3 WER: 0.22268907563025211, S:26, I:16, D:11
S-18B Google 4 WER: 0.291044776119403, S:33, I:3, D:42
S-18B Kaldi 4 WER: 0.2462686567164179, S:26, I:17, D:23
S-18B Google 5 WER: 0.29285714285714287, S:36, I:2, D:44
S-18B Kaldi 5 WER: 0.14285714285714285, S:20, I:9, D:11
S-18B Google 6 WER: 0.26785714285714285, S:17, I:1, D:12
S-18B Kaldi 6 WER: 0.17857142857142858, S:5, I:7, D:8
S-18B Google 7 WER: 0.296875, S:35, I:6, D:16
S-18B Kaldi 7 WER: 0.1875, S:15, I:10, D:11
S-18B Google 8 WER: 0.4358974358974359, S:8, I:0, D:9
S-18B Kaldi 8 WER: 0.3076923076923077, S:8, I:0, D:4
S-18B Google 9 WER: 1.0, S:8, I:1, D:0
S-18B Kaldi 9 WER: 0.6666666666666666, S:4, I:2, D:0
S-18B Google 10 WER: 0.23076923076923078, S:8, I:0, D:7
S-18B Kaldi 10 WER: 0.38461538461538464, S:9, I:14, D:2
S-18B Google 11 WER: 0.34868421052631576, S:32, I:3, D:18
S-18B Kaldi 11 WER: 0.27631578947368424, S:15, I:16, D:11
S-26B Google 0 WER: 0.35802469135802467, S:13, I:0, D:16
S-26B Kaldi 0 WER: 0.2716049382716049, S:10, I:6, D:6
S-26B Google 1 WER: 0.35564853556485354, S:38, I:0, D:47
S-26B Kaldi 1 WER: 0.2928870292887029, S:40, I:17, D:13
S-26B Google 2 WER: 0.39705882352941174, S:64, I:4, D:40
S-26B Kaldi 2 WER: 0.2647058823529412, S:36, I:16, D:20
S-26B Google 3 WER: 0.4740740740740741, S:32, I:2, D:30
S-26B Kaldi 3 WER: 0.35555555555555557, S:30, I:7, D:11
S-26B Google 4 WER: 0.3894736842105263, S:57, I:5, D:49
S-26B Kaldi 4 WER: 0.21754385964912282, S:32, I:6, D:24
S-26B Google 5 WER: 0.5103626943005182, S:116, I:3, D:78
S-26B Kaldi 5 WER: 0.39896373056994816, S:88, I:10, D:56
S-26B Google 6 WER: 0.3081395348837209, S:20, I:0, D:33
S-26B Kaldi 6 WER: 0.25, S:29, I:5, D:9
S-26B Google 7 WER: 0.28865979381443296, S:15, I:0, D:13
S-26B Kaldi 7 WER: 0.29896907216494845, S:22, I:5, D:2
S-26B Google 8 WER: 0.32142857142857145, S:19, I:3, D:14
